,Board Size,Total time (s),"""Total cost",Nodes expanded,Moves to solve,Branching factor,n_attacks,sideway_limits
0,4,0.0004019737243652344,192,0,1,0.0,0,0
1,4,0.001116037368774414,65,4,3,1.4142135623730951,0,1
2,4,0.0006892681121826172,212,2,3,1.189207115002721,0,2
3,4,0.0011439323425292969,105,4,5,1.2599210498948732,0,3
4,4,0.0031518936157226562,137,12,3,1.8612097182041991,0,4
5,4,0.00047516822814941406,52,1,2,1.0,0,0
6,4,0.0048618316650390625,113,20,3,2.114742526881128,0,1
7,4,0.001825094223022461,158,6,4,1.4309690811052556,0,2
8,4,0.004067897796630859,172,15,4,1.7187719275874789,0,3
9,4,0.00013589859008789062,0,0,0,0.0,0,4
10,4,10.000171899795532,0,37926,0,37926.0,2,0
11,4,0.007158994674682617,192,25,2,2.924017738212866,0,1
12,4,0.00023984909057617188,3,0,1,0.0,0,2
13,4,0.0002338886260986328,4,0,1,0.0,0,3
14,4,0.00023794174194335938,36,0,1,0.0,0,4
15,4,0.0019960403442382812,151,6,2,1.8171205928321397,0,0
16,4,0.00197601318359375,129,8,3,1.681792830507429,0,1
17,4,0.0010309219360351562,146,2,3,1.189207115002721,0,2
18,4,0.004502058029174805,391,14,4,1.6952182030724354,0,3
19,4,0.0009500980377197266,108,3,4,1.2457309396155174,0,4
20,4,10.000181913375854,0,39076,0,39076.0,5,0
21,4,0.011900901794433594,33,38,3,2.4828237961983883,0,1
22,4,0.0017428398132324219,65,4,2,1.5874010519681994,0,2
23,4,0.0010981559753417969,49,2,3,1.189207115002721,0,3
24,4,0.002319812774658203,289,5,6,1.2584989506418267,0,4
25,4,10.000126123428345,0,39213,0,39213.0,2,0
26,4,0.00861811637878418,193,32,3,2.378414230005442,0,1
27,4,0.003907203674316406,3,19,2,2.668401648721945,0,2
28,4,0.0012760162353515625,275,5,2,1.7099759466766968,0,3
29,4,0.0004169940948486328,158,0,2,0.0,0,4
30,4,10.000125885009766,0,39662,0,39662.0,6,0
31,4,0.003141164779663086,183,6,3,1.5650845800732873,0,1
32,4,0.008720874786376953,324,41,3,2.530439534435243,0,2
33,4,0.013260126113891602,269,52,5,1.9319707960570336,0,3
34,4,0.05063986778259277,379,223,4,2.9489062954180154,0,4
35,4,10.000178098678589,4,39138,1,197.83326312832227,3,0
36,4,10.000149011611938,28,46500,2,35.95983174073904,5,1
37,4,0.004391908645629883,179,7,2,1.912931182772389,0,2
38,4,0.018437862396240234,281,92,5,2.124701728590157,0,3
39,4,0.022865772247314453,82,14,5,1.5524632891554087,0,4
40,4,0.0016210079193115234,99,2,2,1.2599210498948732,0,0
41,4,0.005892753601074219,252,16,3,2.0,0,1
42,4,0.0019221305847167969,336,6,4,1.4309690811052556,0,2
43,4,0.007010221481323242,130,28,5,1.7425811234704864,0,3
44,4,0.03301095962524414,418,4,5,1.2599210498948732,0,4
45,4,0.0040738582611083984,162,7,2,1.912931182772389,0,0
46,4,0.020063161849975586,145,72,3,2.9129506302439405,0,1
47,4,0.025376081466674805,422,42,4,2.111785764966754,0,2
48,4,0.01618790626525879,149,55,4,2.2288073840335185,0,3
49,4,0.03331804275512695,12,0,1,0.0,0,4
50,5,0.001123189926147461,256,0,1,0.0,0,0
51,5,0.0007700920104980469,12,0,1,0.0,0,1
52,5,0.009246110916137695,87,15,4,1.7187719275874789,0,2
53,5,0.003377199172973633,11,6,3,1.5650845800732873,0,3
54,5,0.0004780292510986328,32,0,1,0.0,0,4
55,5,10.000087022781372,0,21270,0,21270.0,6,0
56,5,0.0015349388122558594,4,0,1,0.0,0,1
57,5,0.01961207389831543,307,49,2,3.6593057100229713,0,2
58,5,0.0012760162353515625,324,0,1,0.0,0,3
59,5,0.033625125885009766,408,74,5,2.0489842492826553,0,4
60,5,0.015349149703979492,72,1,2,1.0,0,0
61,5,0.02466607093811035,347,26,3,2.2581008643532257,0,1
62,5,0.02451491355895996,4,0,1,0.0,0,2
63,5,0.03569984436035156,380,63,4,2.2901720489235826,0,3
64,5,0.015022993087768555,82,30,6,1.6256135930564983,0,4
65,5,10.000303745269775,128,21242,1,145.74635501445653,4,0
66,5,0.1253509521484375,392,312,3,4.202799273419526,0,1
67,5,0.02331709861755371,61,10,2,2.154434690031884,0,2
68,5,0.006895780563354492,77,9,2,2.080083823051904,0,3
69,5,0.00652003288269043,405,13,4,1.6702776523348104,0,4
70,5,10.000265836715698,1,21363,1,146.16087027655522,7,0
71,5,0.002843141555786133,132,3,2,1.4422495703074083,0,1
72,5,0.00034308433532714844,16,0,1,0.0,0,2
73,5,0.004166841506958008,462,4,5,1.2599210498948732,0,3
74,5,0.021984100341796875,216,36,3,2.449489742783178,0,4
75,5,10.000295162200928,0,21372,0,21372.0,6,0
76,5,0.028326034545898438,131,64,3,2.8284271247461903,0,1
77,5,0.03829193115234375,487,102,4,2.5218545481323273,0,2
78,5,0.007056236267089844,147,6,3,1.5650845800732873,0,3
79,5,0.02176499366760254,368,45,6,1.7225554709126916,0,4
80,5,0.03358626365661621,374,6,2,1.8171205928321397,0,0
81,5,0.0011000633239746094,171,1,2,1.0,0,1
82,5,0.05098605155944824,231,119,3,3.3028339520229766,0,2
83,5,0.000675201416015625,85,1,2,1.0,0,3
84,5,0.003779888153076172,288,10,6,1.3894954943731377,0,4
85,5,0.007470130920410156,102,16,2,2.5198420997897464,0,0
86,5,0.029799938201904297,198,38,3,2.4828237961983883,0,1
87,5,0.00507807731628418,109,6,4,1.4309690811052556,0,2
88,5,0.0075418949127197266,342,14,3,1.9343364202676694,0,3
89,5,0.0062410831451416016,486,14,5,1.5524632891554087,0,4
90,5,0.030900001525878906,31,3,2,1.4422495703074083,0,0
91,5,0.004546165466308594,54,5,2,1.7099759466766968,0,1
92,5,0.031155824661254883,102,69,4,2.332221626160242,0,2
93,5,0.022737741470336914,165,60,5,1.9786024464679264,0,3
94,5,0.0013301372528076172,76,2,4,1.148698354997035,0,4
95,5,0.002276897430419922,99,4,2,1.5874010519681994,0,0
96,5,0.0025038719177246094,300,6,3,1.5650845800732873,0,1
97,5,0.0014803409576416016,357,3,4,1.2457309396155174,0,2
98,5,0.033557891845703125,117,2,3,1.189207115002721,0,3
99,5,0.009711980819702148,429,15,6,1.4723567001803468,0,4
100,6,10.000288009643555,36,12521,1,111.89727431890377,5,0
101,6,10.00044584274292,196,15075,1,122.78029157808675,4,1
102,6,10.00056004524231,634,15609,3,11.177476620758641,6,2
103,6,0.0701899528503418,241,107,4,2.5461076134379654,0,3
104,6,3.3831911087036133,207,5333,4,5.564092185443518,0,4
105,6,10.000216007232666,0,12617,0,12617.0,7,0
106,6,10.000509977340698,390,15058,2,24.693866594922156,7,1
107,6,10.000443935394287,100,15274,1,123.58802530989804,3,2
108,6,0.3987410068511963,43,623,4,3.6215760490545086,0,3
109,6,0.18691730499267578,132,269,5,2.5407311567615505,0,4
110,6,10.000487089157104,0,12572,0,12572.0,9,0
111,6,10.000164031982422,8,14683,1,121.17342943071307,8,1
112,6,10.00032114982605,180,15183,3,11.100419661773023,7,2
113,6,5.279429197311401,261,7955,4,6.02737256240407,0,3
114,6,0.017282724380493164,593,8,4,1.5157165665103982,0,4
115,6,10.000507116317749,0,12351,0,12351.0,6,0
116,6,10.000187158584595,36,14077,1,118.64653387267578,6,1
117,6,10.000200986862183,0,15273,0,15273.0,6,2
118,6,2.3663508892059326,201,3715,4,5.17597015646969,0,3
119,6,1.6652240753173828,435,2579,5,3.703183422953499,0,4
120,6,10.000283002853394,9,12612,1,112.30316113093166,8,0
121,6,10.000201940536499,0,14660,0,14660.0,11,1
122,6,0.207183837890625,670,327,4,3.1835344256144342,0,2
123,6,7.20659875869751,183,11080,5,4.721608348631941,0,3
124,6,0.38140106201171875,383,570,6,2.475690829537135,0,4
125,6,10.00023603439331,0,12207,0,12207.0,2,0
126,6,10.00047516822815,99,14850,2,24.57963811801937,5,1
127,6,0.15272021293640137,81,239,3,3.931872942217272,0,2
128,6,10.000401258468628,166,15603,3,11.17640232821697,6,3
129,6,0.08186864852905273,487,130,6,2.004434676915777,0,4
130,6,10.000417709350586,81,12626,1,112.36547512470189,4,0
131,6,10.000255107879639,188,14830,2,24.568598530584257,6,1
132,6,3.361132860183716,231,5235,4,5.54349087779386,0,2
133,6,0.02303600311279297,421,8,5,1.414213562373095,0,3
134,6,0.08547210693359375,310,129,5,2.2478377048195806,0,4
135,6,10.000769853591919,0,12591,0,12591.0,3,0
136,6,0.18094110488891602,377,262,3,4.02323427807015,0,1
