,Best Score,Best Map,First time of the best,First node of the best,Total time
0,12,"[['X' '1' '2' '4']
 ['3' '4' 'S' '3']
 ['6' 'C' 'R' '3']]",0.011867761611938477,53,0.1019887924194336
1,12,"[['X' '1' '2' '4']
 ['3' '4' 'S' '3']
 ['6' 'R' 'C' '3']]",0.012712955474853516,70,0.25265002250671387
2,12,"[['X' '1' '2' '4']
 ['3' '4' 'S' '3']
 ['6' 'C' 'R' '3']]",0.003551006317138672,24,0.5010313987731934
3,12,"[['X' '1' '2' '4']
 ['3' '4' 'S' '3']
 ['6' 'R' 'C' '3']]",0.011928081512451172,72,1.002734899520874
4,12,"[['X' '1' '2' '4']
 ['3' '4' 'S' '3']
 ['6' 'R' 'C' '3']]",0.005110025405883789,34,2.0016531944274902
5,12,"[['X' '1' '2' '4']
 ['3' '4' 'S' '3']
 ['6' 'C' 'R' '3']]",0.009224891662597656,52,3.0012128353118896
6,12,"[['X' '1' '2' '4']
 ['3' '4' 'S' '3']
 ['6' 'C' 'R' '3']]",0.004937887191772461,34,4.001785039901733
7,12,"[['X' '1' '2' '4']
 ['3' '4' 'S' '3']
 ['6' 'C' 'R' '3']]",0.0049610137939453125,34,5.0024707317352295
8,12,"[['X' '1' '2' '4']
 ['3' '4' 'S' '3']
 ['6' 'R' 'C' '3']]",0.004914045333862305,34,6.000698089599609
9,12,"[['X' '1' '2' '4']
 ['3' '4' 'S' '3']
 ['6' 'C' 'R' '3']]",0.01449275016784668,79,7.000777959823608
10,12,"[['X' '1' '2' '4']
 ['3' '4' 'S' '3']
 ['6' 'C' 'R' '3']]",0.00923013687133789,53,8.001559972763062
11,12,"[['X' '1' '2' '4']
 ['3' '4' 'S' '3']
 ['6' 'C' 'R' '3']]",0.014680862426757812,53,9.00064468383789
12,12,"[['X' '1' '2' '4']
 ['3' '4' 'S' '3']
 ['6' 'C' 'R' '3']]",0.008771181106567383,53,10.001910209655762
