,Best Score,Best Map,First time of the best,First node of the best,Total time,td
0,42,"[['2' '3' '3' 'X' '6']
 ['4' 'X' '3' '2' '3']
 ['3' '1' '1' '6' 'X']
 ['C' '6' '5' '8' '5']
 ['S' 'R' 'S' '9' '1']
 ['4' 'R' 'C' '6' '5']]",0.20473885536193848,547,1.01127290725708,2
1,42,"[['2' '3' '3' 'X' '6']
 ['4' 'X' '3' '2' '3']
 ['3' '1' '1' '6' 'X']
 ['C' '6' '5' '8' '5']
 ['S' 'R' 'S' '9' '1']
 ['4' 'R' 'C' '6' '5']]",0.15767192840576172,437,1.0248758792877197,2
2,42,"[['2' '3' '3' 'X' '6']
 ['4' 'X' '3' '2' '3']
 ['3' '1' '1' '6' 'X']
 ['7' '6' 'C' '8' '5']
 ['S' 'R' 'S' '9' '1']
 ['C' 'R' '2' '6' '5']]",0.2212841510772705,541,1.0190038681030273,2
3,42,"[['2' '3' '3' 'X' '6']
 ['4' 'X' '3' '2' '3']
 ['3' '1' '1' '6' 'X']
 ['7' '6' 'C' '8' '5']
 ['S' 'R' 'S' '9' '1']
 ['C' 'R' '2' '6' '5']]",0.17116904258728027,457,1.0058870315551758,2
4,42,"[['2' '3' '3' 'X' '6']
 ['4' 'X' '3' '2' '3']
 ['3' '1' '1' '6' 'X']
 ['7' '6' 'C' '8' '5']
 ['S' 'R' 'S' '9' '1']
 ['C' 'R' '2' '6' '5']]",0.1322791576385498,367,1.003622055053711,2
5,42,"[['2' '3' '3' 'X' '6']
 ['4' 'X' '3' '2' '3']
 ['3' '1' '1' '6' 'X']
 ['7' '6' 'C' '8' '5']
 ['S' 'R' 'S' '9' '1']
 ['C' 'R' '2' '6' '5']]",0.1092379093170166,301,1.0021328926086426,2
6,42,"[['2' '3' '3' 'X' '6']
 ['4' 'X' '3' '2' '3']
 ['3' '1' '1' '6' 'X']
 ['7' '6' 'C' '8' '5']
 ['S' 'R' 'S' '9' '1']
 ['C' 'R' '2' '6' '5']]",0.2138659954071045,524,1.0087199211120605,2
7,35,"[['2' '3' '3' 'X' '6']
 ['4' 'X' '3' '2' '3']
 ['3' '1' '1' '6' 'X']
 ['7' '6' '5' '8' '5']
 ['S' 'R' 'S' '9' '1']
 ['4' 'R' 'C' '6' '5']]",0.23529696464538574,629,1.0202291011810303,2
8,42,"[['2' '3' '3' 'X' '6']
 ['4' 'X' '3' '2' '3']
 ['3' '1' '1' '6' 'X']
 ['7' '6' 'C' '8' '5']
 ['S' 'R' 'S' '9' '1']
 ['C' 'R' '2' '6' '5']]",0.12005615234375,313,1.0139200687408447,2
9,42,"[['2' '3' '3' 'X' '6']
 ['4' 'X' '3' '2' '3']
 ['3' '1' '1' '6' 'X']
 ['7' '6' 'C' '8' '5']
 ['S' 'R' 'S' '9' '1']
 ['C' 'R' '2' '6' '5']]",0.22942304611206055,570,1.0011768341064453,2
10,42,"[['2' '3' '3' 'X' '6']
 ['4' 'X' '3' '2' '3']
 ['3' '1' '1' '6' 'X']
 ['C' '6' '5' '8' '5']
 ['S' 'R' 'S' '9' '1']
 ['4' 'R' 'C' '6' '5']]",0.12612509727478027,309,1.0019829273223877,2
11,42,"[['2' '3' '3' 'X' '6']
 ['4' 'X' '3' '2' '3']
 ['3' '1' '1' '6' 'X']
 ['7' '6' 'C' '8' '5']
 ['S' 'R' 'S' '9' '1']
 ['C' 'R' '2' '6' '5']]",0.24745702743530273,592,1.0152320861816406,2
12,42,"[['2' '3' '3' 'X' '6']
 ['4' 'X' '3' '2' '3']
 ['3' '1' '1' '6' 'X']
 ['C' '6' '5' '8' '5']
 ['S' 'R' 'S' '9' '1']
 ['4' 'R' 'C' '6' '5']]",0.19446682929992676,473,1.002492904663086,2
13,42,"[['2' '3' '3' 'X' '6']
 ['4' 'X' '3' '2' '3']
 ['3' '1' '1' '6' 'X']
 ['C' '6' '5' '8' '5']
 ['S' 'R' 'S' '9' '1']
 ['4' 'R' 'C' '6' '5']]",0.11426091194152832,298,1.0039260387420654,2
14,42,"[['2' '3' '3' 'X' '6']
 ['4' 'X' '3' '2' '3']
 ['3' '1' '1' '6' 'X']
 ['C' '6' '5' '8' '5']
 ['S' 'R' 'S' '9' '1']
 ['4' 'R' 'C' '6' '5']]",0.14813709259033203,393,1.0140507221221924,2
15,42,"[['2' '3' '3' 'X' '6']
 ['4' 'X' '3' '2' '3']
 ['3' '1' '1' '6' 'X']
 ['C' '6' '5' '8' '5']
 ['S' 'R' 'S' '9' '1']
 ['4' 'R' 'C' '6' '5']]",0.20360708236694336,524,1.0358068943023682,2
16,42,"[['2' '3' '3' 'X' '6']
 ['4' 'X' '3' '2' '3']
 ['3' '1' '1' '6' 'X']
 ['C' '6' '5' '8' '5']
 ['S' 'R' 'S' '9' '1']
 ['4' 'R' 'C' '6' '5']]",0.1753678321838379,452,1.02121901512146,2
17,42,"[['2' '3' '3' 'X' '6']
 ['4' 'X' '3' '2' '3']
 ['3' '1' '1' '6' 'X']
 ['C' '6' '5' '8' '5']
 ['S' 'R' 'S' '9' '1']
 ['4' 'R' 'C' '6' '5']]",0.17563867568969727,412,1.0013258457183838,2
18,42,"[['2' '3' '3' 'X' '6']
 ['4' 'X' '3' '2' '3']
 ['3' '1' '1' '6' 'X']
 ['7' '6' 'C' '8' '5']
 ['S' 'R' 'S' '9' '1']
 ['C' 'R' '2' '6' '5']]",0.1334071159362793,333,1.0081431865692139,2
19,42,"[['2' '3' '3' 'X' '6']
 ['4' 'X' '3' '2' '3']
 ['3' '1' '1' '6' 'X']
 ['7' '6' 'C' '8' '5']
 ['S' 'R' 'S' '9' '1']
 ['C' 'R' '2' '6' '5']]",0.24791812896728516,594,1.0309889316558838,2
20,42,"[['2' '3' '3' 'X' '6']
 ['4' 'X' '3' '2' '3']
 ['3' '1' '1' '6' 'X']
 ['C' '6' '5' '8' '5']
 ['S' 'R' 'S' '9' '1']
 ['4' 'R' 'C' '6' '5']]",0.16126799583435059,383,1.007338047027588,2
